trial,severity,mse,active_ingredient,year,spray,location,state
98,3.5,0.75781,pico_cypr,2009,2,JACIARA,MT
98,3.5,0.75781,azox_cypr,2009,2,JACIARA,MT
98,3.5,0.75781,tebu,2009,2,JACIARA,MT
161,3.5,10.64645,pyra_epox,2010,2,LONDRINA,PR
169,3.5,2.76496,azox_cypr,2010,2,CRUZ ALTA,RS
194,3.5,33.8684,azox_cypr,2012,2,JATAÍ,GO
207,3.5,0.32639,pico_cypr,2012,2,GUARAPUAVA,PR
210,3.5,2.31392,pyra_epox,2013,2,SÃO GABRIEL DO OESTE,MS
210,3.5,2.31392,azox_cypr,2013,2,SÃO GABRIEL DO OESTE,MS
216,3.5,21.61276,cypr,2013,2,PRIMAVERA DO LESTE,MT
235,3.5,15.77622,trif_prot,2014,2,PRIMAVERA DO LESTE,MT
123,3.6,1.45592,azox_cypr,2009,2,JACIARA,MT
161,3.6,10.64645,azox_cypr,2010,2,LONDRINA,PR
98,3.8,0.75781,pyra_epox,2009,2,JACIARA,MT
123,3.8,1.45592,trif_prot,2009,2,JACIARA,MT
186,3.8,31.15238,pyra_epox,2011,2,CAMAQUÃ,RS
194,3.8,33.8684,trif_prot,2012,2,JATAÍ,GO
200,3.8,4.01285,azox_cypr,2012,2,LONDRINA,PR
221,3.8,1.88631,cypr,2013,3,SENADOR CANEDO,GO
34,3.9,4.46524,cypr,2006,2,LONDRINA,PR
221,4,1.88631,tebu,2013,3,SENADOR CANEDO,GO
9,4,26.14686,tebu,2005,2,CAPÃO BONITO,SP
115,4,1.40317,pyra_metc,2009,3,TANGARÁ DA SERRA,MT
128,4,11.68611,pyra_metc,2009,3,UBERABA,MG
186,4,31.15238,pyra_metc,2011,2,CAMAQUÃ,RS
216,4,21.61276,pico_cypr,2013,2,PRIMAVERA DO LESTE,MT
231,4,0.73264,pyra_epox,2013,2,ENTRE RIOS,PR
231,4,0.73264,azox_cypr,2013,2,ENTRE RIOS,PR
88,4,69.9894,tebu,2008,NA,LUIZ EDUARDO MAGALHÃES,BA
218,4.1,0.76971,cypr,2013,2,DOURADOS,MS
100,4.1,20.54338,azox_cypr,2009,3,LONDRINA,PR
182,4.1,0.48713,azox_cypr,2011,2,GUARAPUAVA,PR
123,4.2,1.45592,tebu,2009,2,JACIARA,MT
54,4.2,39.3165,tebu,2007,2,LUIZ EDUARDO MAGALHÃES,BA
36,4.3,8.95266,tebu,2006,2,CHAPADÃO DO SUL,MS
